id,uri,title,artists,year,rank,tempo,time_signature,duration_ms,key,mode,acousticness,danceability,energy,instrumentalness,loudness,valence
4MUGG9mgDUP8dlaS3AAeg0,spotify:track:4MUGG9mgDUP8dlaS3AAeg0,"""Stagger Lee""",Lloyd Price,1959,13,69.835,4,144960,D#/Eb,major,0.675,0.396,0.618,0,-8.209,0.824
0VE4ayVlGs5DBoqOdgJ0Zv,spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv,"""Donna""",Ritchie Valens,1959,14,100.299,3,150973,F,major,0.864,0.472,0.225,0,-12.581,0.29
2DifRe6kiKZjeB1IqFl2jJ,spotify:track:2DifRe6kiKZjeB1IqFl2jJ,"""Pink Shoe Laces""",Dodie Stevens,1959,15,85.81,4,145160,F,minor,0.678,0.758,0.587,0,-10.462,0.882
2vSxjnyrWrtxyfzO47EX6q,spotify:track:2vSxjnyrWrtxyfzO47EX6q,"""Smoke Gets in Your Eyes""",The Platters,1959,16,171.222,3,160933,D#/Eb,major,0.92,0.203,0.295,2.05e-06,-11.155,0.285
6Q0aBakbTsjQO6iGdxmXlx,spotify:track:6Q0aBakbTsjQO6iGdxmXlx,"""Charlie Brown""",The Coasters,1959,17,125.705,4,141667,D#/Eb,major,0.404,0.646,0.628,5.03e-06,-8.794,0.881
3ZI49HJE66dhI3EvYHDqSz,spotify:track:3ZI49HJE66dhI3EvYHDqSz,"""Quiet Village""",Martin Denny,1959,18,114.324,4,220240,D,minor,0.685,0.818,0.482,0.119,-8.915,0.299
4oPoduVWqtgmHj7L2aIM9Y,spotify:track:4oPoduVWqtgmHj7L2aIM9Y,"""My Heart Is an Open Book""",Carl Dobkins Jr.,1959,19,134.008,4,120320,E,major,0.582,0.74,0.428,1.63e-06,-10.398,0.731
09gdJbBFAQAdfUFhzZamhv,spotify:track:09gdJbBFAQAdfUFhzZamhv,"""(Till) I Kissed You""",The Everly Brothers,1959,20,140.725,4,146054,A#/Bb,minor,0.581,0.567,0.457,0,-10.434,0.663
4gUDdUr5yK0JGlR49zSRVt,spotify:track:4gUDdUr5yK0JGlR49zSRVt,"""Sea of Love""",Phil Phillips,1959,21,127.565,3,141933,G,major,0.786,0.449,0.571,0,-5.848,0.308
4HCfvYhhYPmfu0JMHamXeL,spotify:track:4HCfvYhhYPmfu0JMHamXeL,"""The Happy Organ""",Dave Cortez,1959,22,91.19,4,125200,C#/Db,major,0.544,0.636,0.888,0.141,-6.811,0.97
6LHCwuY2YSQSS4qb3gooVg,spotify:track:6LHCwuY2YSQSS4qb3gooVg,"""Sorry (I Ran All the Way Home)""",The Impalas,1959,24,131.775,4,149667,D#/Eb,major,0.702,0.668,0.328,0.00913,-12.917,0.885
0QGwOFQChzflLAmPq5NwKo,spotify:track:0QGwOFQChzflLAmPq5NwKo,"""A Teenager in Love""",Dion and the Belmonts,1959,25,78.986,4,158253,C#/Db,major,0.671,0.555,0.377,0,-9.123,0.619
4QbpBv2ka7Zpbrrl5QFAgy,spotify:track:4QbpBv2ka7Zpbrrl5QFAgy,"""16 Candles""",The Crests,1959,26,114.097,3,172460,A#/Bb,major,0.733,0.591,0.472,0,-4.906,0.627
3UjVdOZBluypI9Qdc4IPsB,spotify:track:3UjVdOZBluypI9Qdc4IPsB,"""It's Just a Matter of Time""",Brook Benton,1959,27,100.966,3,145067,D#/Eb,major,0.858,0.571,0.273,0.151,-13.659,0.471
5Y1GkapUCSqXvoAujohJL2,spotify:track:5Y1GkapUCSqXvoAujohJL2,"""Lipstick on Your Collar""",Connie Francis,1959,28,165.624,4,138933,G,major,0.833,0.538,0.884,0.000307,-7.74,0.901
2s4B4fUlVIkE4ELgoupjXL,spotify:track:2s4B4fUlVIkE4ELgoupjXL,"""There Goes My Baby""",The Drifters,1959,29,77.58,5,129613,F#/Gb,minor,0.596,0.239,0.564,0,-6.544,0.642
6PUsG2iMvCjnPFLjydO1RR,spotify:track:6PUsG2iMvCjnPFLjydO1RR,"""A Big Hunk o' Love""",Elvis Presley,1959,30,87.055,4,133093,G,minor,0.822,0.551,0.934,0.143,-6.66,0.96
643QHUvRNchbEDfcDvMILB,spotify:track:643QHUvRNchbEDfcDvMILB,"""Red River Rock""",Johnny and the Hurricanes,1959,31,151.348,4,138240,B,major,0.662,0.339,0.935,0.000749,-4.802,0.783
3YXPyakTFaoVS2ffimogLR,spotify:track:3YXPyakTFaoVS2ffimogLR,"""Waterloo""",Stonewall Jackson,1959,32,203.85,4,146933,G#/Ab,minor,0.482,0.463,0.607,0,-10.714,0.964
0YARD4OwVGKKzfTrUXlxYr,spotify:track:0YARD4OwVGKKzfTrUXlxYr,"""Lavender Blue""",Sammy Turner,1959,33,114.61,3,134453,G#/Ab,major,0.832,0.468,0.281,0.738,-13.322,0.479
53Wf6uVFYa1Ef1pltkA54Q,spotify:track:53Wf6uVFYa1Ef1pltkA54Q,"""(Now and Then There's) A Fool Such as I""",Elvis Presley,1959,34,128.751,4,157533,C,major,0.91,0.622,0.713,0.000179,-8.104,0.601
6CIHxvT7MnSGsJLCoihLtV,spotify:track:6CIHxvT7MnSGsJLCoihLtV,"""Guitar Boogie Shuffle""",The Virtues,1959,35,93.164,4,156800,E,major,0.105,0.542,0.946,0.0309,-7.03,0.482
0b6gDFi2UJhDDFk3vOIHxL,spotify:track:0b6gDFi2UJhDDFk3vOIHxL,"""Teen Beat""",Sandy Nelson,1959,36,187.07,4,182533,F#/Gb,minor,0.0149,0.379,0.754,0.835,-12.292,0.537
7HX8vPJ5pGW7ZjSGsQym5Y,spotify:track:7HX8vPJ5pGW7ZjSGsQym5Y,"""Tragedy""",Thomas Wayne,1959,38,73.84,4,131507,C#/Db,major,0.991,0.215,0.142,0.018,-14.35,0.158
3Caxz7mxX1pTWlxCYH1aV3,spotify:track:3Caxz7mxX1pTWlxCYH1aV3,"""My Happiness""",Connie Francis,1959,39,108.853,4,148253,A#/Bb,major,0.843,0.468,0.346,1.84e-06,-7.382,0.298
5dDs13F0oo7XngcEIgRb2m,spotify:track:5dDs13F0oo7XngcEIgRb2m,"""Tallahassee Lassie""",Freddy Cannon,1959,40,142.42,4,132893,D,major,0.152,0.324,0.888,0,-4.856,0.251
0FTJE40z7UhPxdJOLiHQ0N,spotify:track:0FTJE40z7UhPxdJOLiHQ0N,"""Tiger""",Fabian,1959,41,167.557,4,149520,E,minor,0.78,0.561,0.573,0.00118,-16.162,0.962
0snHlyyyUp2hKYEz7ffmkx,spotify:track:0snHlyyyUp2hKYEz7ffmkx,"""Never Be Anyone Else But You""",Ricky Nelson,1959,42,141.703,3,136267,C,major,0.127,0.577,0.45,7.28e-05,-10.327,0.711
6KceGfo54oVMtf7mc2m9DM,spotify:track:6KceGfo54oVMtf7mc2m9DM,"""Don't You Know?""",Della Reese,1959,43,125.109,3,128934,G#/Ab,minor,0.239,0.509,0.346,1.78e-06,-14.648,0.655
1SoFz4D2PWB98avdJnt0XD,spotify:track:1SoFz4D2PWB98avdJnt0XD,"""I Need Your Love Tonight""",Elvis Presley,1959,44,180.595,4,124627,G,major,0.863,0.509,0.8,0.000166,-8.695,0.966
4zzYDuf3fejT28Fj4N3LEM,spotify:track:4zzYDuf3fejT28Fj4N3LEM,"""The All American Boy""",Bill Parsons,1959,46,148.79,4,182267,E,major,0.722,0.49,0.779,0,-8.33,0.939
4bFHIZcJH8hq1JpYyA2hLw,spotify:track:4bFHIZcJH8hq1JpYyA2hLw,"""Primrose Lane""",Jerry Wallace,1959,47,121.145,4,142960,G#/Ab,minor,0.953,0.552,0.319,0.523,-15.533,0.358
4aqEPeDRi8EXbOxFwIoaJ8,spotify:track:4aqEPeDRi8EXbOxFwIoaJ8,"""Alvin's Harmonica""",The Chipmunks,1959,48,117.878,4,162973,G#/Ab,major,0.506,0.532,0.522,0.167,-7.395,0.764
4vzwzP3O4ihgi4FdewHMsb,spotify:track:4vzwzP3O4ihgi4FdewHMsb,"""Lonely Street""",Andy Williams,1959,49,100.486,3,166493,A,major,0.95,0.428,0.111,0.0115,-16.501,0.389
5X4lsUAYrT5m0IyL6Xm8T5,spotify:track:5X4lsUAYrT5m0IyL6Xm8T5,"""Broken Hearted Melody""",Sarah Vaughan,1959,51,132.542,4,143360,G,major,0.796,0.45,0.544,0,-10.011,0.75
3HynxUWKnm7rtzjVkyXoHu,spotify:track:3HynxUWKnm7rtzjVkyXoHu,"""Gotta Travel On""",Billy Grammer,1959,53,177.144,4,150493,D#/Eb,major,0.822,0.568,0.512,1.14e-05,-12.223,0.892
5y3EUvXJouxlUk5FLOblFB,spotify:track:5y3EUvXJouxlUk5FLOblFB,"""Poison Ivy""",The Coasters,1959,54,137.194,4,164320,C#/Db,major,0.381,0.75,0.586,0,-8.985,0.972
1qDMgYlMQkFDAjmhNIgr1L,spotify:track:1qDMgYlMQkFDAjmhNIgr1L,"""Turn Me Loose""",Fabian,1959,55,127.194,3,142120,G,major,0.817,0.42,0.689,0.000103,-9.564,0.743
6TYR3IVgIwDK6ydc2EPEQq,spotify:track:6TYR3IVgIwDK6ydc2EPEQq,"""Lonely Teardrops""",Jackie Wilson,1959,56,137.133,4,166213,G,major,0.406,0.524,0.478,0,-8.894,0.843
0gPX8VCqSEnYhIMHvqGUr7,spotify:track:0gPX8VCqSEnYhIMHvqGUr7,"""Hawaiian Wedding Song""",Andy Williams,1959,57,101.747,3,150200,A#/Bb,major,0.861,0.278,0.141,0.002,-13.719,0.176
7vvIRamaiahhhXnFzA6wbB,spotify:track:7vvIRamaiahhhXnFzA6wbB,"""Forty Miles of Bad Road""",Duane Eddy,1959,58,126.327,4,130600,D,major,0.0434,0.719,0.685,0.884,-11.918,0.96
2GxM8E6m8433tLkS3xmUMf,spotify:track:2GxM8E6m8433tLkS3xmUMf,"""Just Ask Your Heart""",Frankie Avalon,1959,59,88.694,4,146747,C,major,0.645,0.456,0.559,0,-9.081,0.676
1Fjn0esWJFneKL73wJqgj8,spotify:track:1Fjn0esWJFneKL73wJqgj8,"""Tell Him No""",Travis and Bob,1959,60,184.594,4,131120,A,major,0.625,0.314,0.631,0,-11.737,0.912
3cmGF5NDmyRcc8XM3xbFWb,spotify:track:3cmGF5NDmyRcc8XM3xbFWb,"""Frankie""",Connie Francis,1959,61,99.605,3,151200,D#/Eb,major,0.796,0.572,0.483,5.97e-06,-8.123,0.609
28dTB69zJBpBIiDH32Jp1M,spotify:track:28dTB69zJBpBIiDH32Jp1M,"""I Cried a Tear""",LaVern Baker,1959,63,169.232,3,155853,A,major,0.93,0.348,0.179,0.0016,-13.394,0.547
3uCXarDsIYEJ6noaI64jhW,spotify:track:3uCXarDsIYEJ6noaI64jhW,"""Enchanted""",The Platters,1959,64,78.541,4,172293,D#/Eb,major,0.903,0.348,0.225,1.67e-06,-13.889,0.286
1DeMOqqJ5lFegnaWTWFCQG,spotify:track:1DeMOqqJ5lFegnaWTWFCQG,"""Peter Gunn Theme""",Ray Anthony,1959,66,118.777,4,111293,G,minor,0.599,0.605,0.522,0.741,-12.757,0.908
7Eb6tK57j03HANxorHhd5h,spotify:track:7Eb6tK57j03HANxorHhd5h,"""I Want to Walk You Home""",Fats Domino,1959,68,89.872,4,140933,C#/Db,major,0.474,0.752,0.382,0,-12.826,0.825
5dTK0Jl2P6MSeVzeCGQBIy,spotify:track:5dTK0Jl2P6MSeVzeCGQBIy,"""So Fine""",The Fiestas,1959,69,142.327,4,143000,D#/Eb,major,0.182,0.437,0.413,0,-11.689,0.621
5JIPLZrxKIaXNE7nnI6NUC,spotify:track:5JIPLZrxKIaXNE7nnI6NUC,"""Bobby Sox to Stockings""",Frankie Avalon,1959,70,117.866,4,161533,G,minor,0.829,0.589,0.47,4.15e-06,-9.722,0.614
6HBgCYResmsdmOufyHVoNB,spotify:track:6HBgCYResmsdmOufyHVoNB,"""A Lover's Question""",Clyde McPhatter,1959,72,83.023,4,150267,C,major,0.887,0.67,0.436,1.71e-05,-11.698,0.951
3YdKJzcoMZMacISlpY4QoP,spotify:track:3YdKJzcoMZMacISlpY4QoP,"""I Only Have Eyes for You""",The Flamingos,1959,73,88.554,3,202773,F,major,0.916,0.552,0.313,0.0017,-12.41,0.303
5fWoxLPLPaJUy3Iostzl1C,spotify:track:5fWoxLPLPaJUy3Iostzl1C,"""It's Late""",Ricky Nelson,1959,74,82.868,4,119667,G#/Ab,major,0.79,0.6,0.795,0,-8.077,0.898
5IOrscHhyyr2LqbKu8wEXb,spotify:track:5IOrscHhyyr2LqbKu8wEXb,"""Petite Fleur""",Chris Barber's Jazz Band,1959,75,112.342,4,163077,G#/Ab,minor,0.946,0.712,0.165,0.753,-12.996,0.47
7oJujJSTfOKP1Gw95dK3Sy,spotify:track:7oJujJSTfOKP1Gw95dK3Sy,"""Tall Paul""",Annette Funicello,1959,76,202.42,4,97080,D#/Eb,major,0.676,0.382,0.543,4.94e-05,-9.582,0.961
4adwiDSem8c2jgiy66Bcsv,spotify:track:4adwiDSem8c2jgiy66Bcsv,"""The Tijuana Jail""",The Kingston Trio,1959,77,155.891,4,170907,G,major,0.795,0.451,0.263,0,-13.567,0.62
5mIfY39eTpWHj2gpEXvjb6,spotify:track:5mIfY39eTpWHj2gpEXvjb6,"""Just a Little Too Much""",Ricky Nelson,1959,78,91.634,4,131800,G#/Ab,major,0.673,0.705,0.736,2.55e-06,-11.635,0.968
5rsw9X7x69a5aiTvQqm9Tl,spotify:track:5rsw9X7x69a5aiTvQqm9Tl,"""Goodbye Baby""",Jack Scott,1959,79,130.648,4,128973,A,major,0.93,0.728,0.486,0.236,-13.772,0.771
4RPiAR1m2eglvjWMHHFu1Y,spotify:track:4RPiAR1m2eglvjWMHHFu1Y,"""Along Came Jones""",The Coasters,1959,80,104.684,4,178053,A,major,0.504,0.771,0.758,0,-6.013,0.758
0CUsZyJMSDjhdoQZxHhTtx,spotify:track:0CUsZyJMSDjhdoQZxHhTtx,"""A Boy Without a Girl""",Frankie Avalon,1959,82,98.988,3,117093,E,major,0.749,0.474,0.22,6.08e-06,-14.031,0.361
4si2ZU8jVZWTuoUvkujcmw,spotify:track:4si2ZU8jVZWTuoUvkujcmw,"""Sweeter Than You""",Ricky Nelson,1959,83,74.308,4,140760,A#/Bb,major,0.845,0.403,0.125,1.37e-06,-12.067,0.274
1QJR1uYpBNVlCDS7NjpgUR,spotify:track:1QJR1uYpBNVlCDS7NjpgUR,"""It Was I""",Skip & Flip,1959,84,112.919,4,142420,F#/Gb,major,0.757,0.684,0.939,0,-9.546,0.956
4xDT5KaC3c1yU5px1h2OVn,spotify:track:4xDT5KaC3c1yU5px1h2OVn,"""Goodbye Jimmy, Goodbye""",Kathy Linden,1959,85,74.864,4,153347,A#/Bb,major,0.969,0.386,0.231,0.000244,-11.723,0.334
4czc4aXc73sl57rHja2F7z,spotify:track:4czc4aXc73sl57rHja2F7z,"""Manhattan Spiritual""",Reg Owen Orchestra,1959,86,99.081,4,153995,E,major,0.719,0.679,0.935,0.916,-3.532,0.73
5QiWvZvXVb9aF7XdtZxI1b,spotify:track:5QiWvZvXVb9aF7XdtZxI1b,"""Endlessly""",Brook Benton,1959,87,133.181,4,142333,F,major,0.333,0.524,0.33,0,-16.497,0.813
1KcSPQqbbbBCFyAVmJySst,spotify:track:1KcSPQqbbbBCFyAVmJySst,"""Heartaches by the Number""",Guy Mitchell,1959,88,171.677,4,151720,F,major,0.481,0.614,0.562,4.6e-06,-11.999,0.815
3rs1ferv5DqJXU2Y1lzd50,spotify:track:3rs1ferv5DqJXU2Y1lzd50,"""Sea Cruise""",Frankie Ford,1959,89,167.026,4,158600,C#/Db,major,0.181,0.545,0.662,0.000503,-10.294,0.676
3f2dCpOap3vfqebOyVPHIs,spotify:track:3f2dCpOap3vfqebOyVPHIs,"""That's Why (I Love You So)""",Jackie Wilson,1959,90,146.618,4,126227,F,major,0.673,0.72,0.803,0,-8.443,0.961
21ZVvnP0MY0EbrOovH0tUp,spotify:track:21ZVvnP0MY0EbrOovH0tUp,"""Kissin' Time""",Bobby Rydell,1959,92,94.975,4,132373,C,minor,0.183,0.64,0.92,8.07e-06,-5.51,0.93
543SzJd0OFYwTU6AucokHq,spotify:track:543SzJd0OFYwTU6AucokHq,"""My Wish Came True""",Elvis Presley,1959,93,74.586,4,154640,D,major,0.958,0.254,0.177,1.49e-05,-11.765,0.241
4Gy2ccb1lUzc5sNmwKtTFt,spotify:track:4Gy2ccb1lUzc5sNmwKtTFt,"""Morgen""",Ivo Robić,1959,94,99.786,4,155800,A#/Bb,major,0.899,0.589,0.433,1.24e-05,-7.605,0.647
2aBNUHJEIZhNePKpCEBAW0,spotify:track:2aBNUHJEIZhNePKpCEBAW0,"""Baby Talk""",Jan and Dean,1959,95,104.863,4,145800,B,minor,0.786,0.496,0.463,0,-14.526,0.566
2Nrd5jRq7KVrHOWOVUKi5S,spotify:track:2Nrd5jRq7KVrHOWOVUKi5S,"""Take a Message to Mary""",The Everly Brothers,1959,96,117.763,4,148307,E,major,0.302,0.748,0.254,0,-14.77,0.347
0DpjGs3EbsI1TKiYSSeTRF,spotify:track:0DpjGs3EbsI1TKiYSSeTRF,"""Bongo Rock""",Preston Epps,1959,98,169.043,4,126321,E,major,0.557,0.347,0.995,0.839,-9.049,0.591
6nCRUa8xPE59AyOfZBr3Qt,spotify:track:6nCRUa8xPE59AyOfZBr3Qt,"""In the Mood""",Ernie Fields,1959,99,162.462,4,158880,C#/Db,major,0.607,0.431,0.938,0.957,-7.119,0.972
3yaDHPIsjORc43AdGbYvrG,spotify:track:3yaDHPIsjORc43AdGbYvrG,"""Seven Little Girls Sitting in the Back Seat""",Paul Evans,1959,100,127.056,4,131880,A,major,0.767,0.82,0.46,0,-11.401,0.758
6zwvB879PJSpTyFcg2wwnL,spotify:track:6zwvB879PJSpTyFcg2wwnL,"""Theme from A Summer Place""",Percy Faith,1960,1,186.232,3,142693,C,major,0.591,0.326,0.326,0.918,-15.144,0.87
7dDE59NX0n466e705E8Itz,spotify:track:7dDE59NX0n466e705E8Itz,"""He'll Have to Go""",Jim Reeves,1960,2,88.271,3,134333,C#/Db,major,0.974,0.469,0.244,0.0162,-15.702,0.577
1MA9StLzlFftLbuqOmoWij,spotify:track:1MA9StLzlFftLbuqOmoWij,"""Cathy's Clown""",The Everly Brothers,1960,3,119.809,4,144013,G,major,0.412,0.498,0.582,0,-8.961,0.866
0x6gSfnYA91AHPLvULn5NK,spotify:track:0x6gSfnYA91AHPLvULn5NK,"""Running Bear""",Johnny Preston,1960,4,119.964,4,158213,F,minor,0.744,0.762,0.419,0,-9.312,0.765
36NPEs4S7ik50NrlzaqoIJ,spotify:track:36NPEs4S7ik50NrlzaqoIJ,"""Teen Angel""",Mark Dinning,1960,5,101.517,4,159893,C,major,0.936,0.57,0.0636,0,-18.548,0.282
1XunTmhOcj3xwh4b8P3isX,spotify:track:1XunTmhOcj3xwh4b8P3isX,"""It's Now or Never""",Elvis Presley,1960,7,126.399,4,194600,E,major,0.642,0.643,0.491,0.00972,-9.312,0.753
1CUN9HpU25ymyCh5dBCygu,spotify:track:1CUN9HpU25ymyCh5dBCygu,"""Handy Man""",Jimmy Jones,1960,8,144.995,4,125160,A#/Bb,major,0.376,0.452,0.644,0,-9.061,0.854
39zODpVtRvghMyfNjZ3BVK,spotify:track:39zODpVtRvghMyfNjZ3BVK,"""Stuck on You""",Elvis Presley,1960,9,131.641,4,139640,G,major,0.758,0.647,0.513,8.64e-06,-12.372,0.955
3ohLnESFgYACPMCkoTOzqE,spotify:track:3ohLnESFgYACPMCkoTOzqE,"""The Twist""",Chubby Checker,1960,10,156.663,4,153760,E,major,0.202,0.533,0.638,0,-7.13,0.937
0d8FE2qM1lDEv5TI8VuivT,spotify:track:0d8FE2qM1lDEv5TI8VuivT,"""Everybody's Somebody's Fool""",Connie Francis,1960,11,84.201,4,157600,C#/Db,major,0.746,0.582,0.591,1.44e-06,-9.623,0.847
6OJZM84zgpRxRYtBk979xG,spotify:track:6OJZM84zgpRxRYtBk979xG,"""Wild One""",Bobby Rydell,1960,12,148.62,4,141093,G,major,0.706,0.597,0.777,1.5e-06,-4.722,0.893
7LAsDdinXejDwodvelVVTa,spotify:track:7LAsDdinXejDwodvelVVTa,"""Greenfields""",The Brothers Four,1960,13,111.43,1,182027,B,minor,0.863,0.466,0.125,0,-20.428,0.338
3XToK0X499i9odkrDCG4FL,spotify:track:3XToK0X499i9odkrDCG4FL,"""What in the World's Come Over You""",Jack Scott,1960,14,76.273,4,173267,E,major,0.802,0.506,0.176,3.93e-06,-13.962,0.492
4f8hBeMXMvssn6HtFAtblo,spotify:track:4f8hBeMXMvssn6HtFAtblo,"""El Paso""",Marty Robbins,1960,15,106.662,3,259307,D,major,0.835,0.654,0.452,2.89e-05,-9.709,0.691
4lWsFMUIxzLFVbWVgLwnqO,spotify:track:4lWsFMUIxzLFVbWVgLwnqO,"""Alley Oop""",The Hollywood Argyles,1960,16,64.596,4,160705,D,major,0.798,0.65,0.352,4.1e-06,-10.304,0.888
7qinPLZ41lgIGuT40EAFs0,spotify:track:7qinPLZ41lgIGuT40EAFs0,"""My Heart Has a Mind of Its Own""",Connie Francis,1960,17,109.49,4,152267,F#/Gb,major,0.819,0.495,0.539,0,-6.088,0.715
4ZiDhG5Ift5I6reAEOBBec,spotify:track:4ZiDhG5Ift5I6reAEOBBec,"""Sweet Nothin's""",Brenda Lee,1960,18,125.235,4,144600,F,major,0.642,0.778,0.413,0.00104,-10.551,0.961
3B3jI9LaQyOwrtjdlnNOw0,spotify:track:3B3jI9LaQyOwrtjdlnNOw0,"""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini""",Brian Hyland,1960,19,123.112,4,143733,D,major,0.554,0.813,0.427,0,-11.543,0.964
0PkBTqRtN25z3oKasWoKlj,spotify:track:0PkBTqRtN25z3oKasWoKlj,"""Only the Lonely""",Roy Orbison,1960,20,123.273,4,145533,F,major,0.377,0.57,0.529,0.00509,-10.769,0.934
1ZsHsqO3nrafksXkOBeUXG,spotify:track:1ZsHsqO3nrafksXkOBeUXG,"""Where or When""",Dion and the Belmonts,1960,21,110.501,3,160387,G#/Ab,major,0.722,0.449,0.395,0,-6.389,0.393
0oI0ekrSQ3aHiHcMi1B2gK,spotify:track:0oI0ekrSQ3aHiHcMi1B2gK,"""Sixteen Reasons""",Connie Stevens,1960,22,109.783,3,118133,A#/Bb,major,0.865,0.339,0.406,1.1e-05,-8.955,0.619
1Gv8dvKmkHVaB1edYvW0Fr,spotify:track:1Gv8dvKmkHVaB1edYvW0Fr,"""Puppy Love""",Paul Anka,1960,23,102.229,3,164000,G,major,0.662,0.29,0.408,0,-9.607,0.542
0CRxGsJrwOMQUuTr4yT5mX,spotify:track:0CRxGsJrwOMQUuTr4yT5mX,"""Why""",Frankie Avalon,1960,24,94.267,4,157520,F,major,0.762,0.51,0.349,0,-8.677,0.586
391TUcoPonqYykPkSZ5Z9U,spotify:track:391TUcoPonqYykPkSZ5Z9U,"""Save the Last Dance for Me""",The Drifters,1960,26,143.453,4,154960,E,major,0.614,0.54,0.53,0,-10.583,0.896
4F7T8NnGKbhLMVtAMycDQg,spotify:track:4F7T8NnGKbhLMVtAMycDQg,"""Sink the Bismarck""",Johnny Horton,1960,28,115.894,4,194640,D#/Eb,major,0.652,0.68,0.57,1.18e-05,-12.388,0.966
7v1858htfU0srTDwhxeka8,spotify:track:7v1858htfU0srTDwhxeka8,"""Chain Gang""",Sam Cooke,1960,29,131.821,4,155173,G,major,0.73,0.703,0.724,0,-10.818,0.963
0Tjdbd83LEAWrA0atsXMDJ,spotify:track:0Tjdbd83LEAWrA0atsXMDJ,"""Let It Be Me""",The Everly Brothers,1960,30,72.764,4,146733,G,major,0.77,0.471,0.19,0.00385,-16.046,0.305
0HsMCDZOh9gWDh5KgsD70H,spotify:track:0HsMCDZOh9gWDh5KgsD70H,"""Good Timin'""",Jimmy Jones,1960,31,147.424,4,129773,D#/Eb,major,0.596,0.568,0.459,1.74e-05,-10.086,0.967
3KzgdYUlqV6TOG7JCmx2Wg,spotify:track:3KzgdYUlqV6TOG7JCmx2Wg,"""Beyond the Sea""",Bobby Darin,1960,32,136.483,4,172480,D,minor,0.723,0.521,0.516,0,-7.456,0.569
15mwNCoUIJJ1dvtNeSbY7J,spotify:track:15mwNCoUIJJ1dvtNeSbY7J,"""Go, Jimmy, Go""",Jimmy Clanton,1960,33,142.815,4,126427,C,major,0.435,0.684,0.374,0,-12.037,0.846
0GAXsJkYFTXhw6Rs3QWFBq,spotify:track:0GAXsJkYFTXhw6Rs3QWFBq,"""Night""",Jackie Wilson,1960,34,99.075,4,169653,C,minor,0.918,0.284,0.498,0.00097,-5.534,0.327
4PZ1es22XnUyLAM4GsCIlh,spotify:track:4PZ1es22XnUyLAM4GsCIlh,"""Burning Bridges""",Jack Scott,1960,35,82.647,4,163467,D,major,0.8,0.471,0.25,0.000323,-14.637,0.232
